factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
0.5,0.5,GR Groff Reorder Procedure,SAP only,90182C,7.212729047928023,0.001974907063197026,0.1827956989247312,0.9767619612636168,8.148574613643882,3.998435054773083,7,133.8725905064281,639
2.0,2.0,Per period 7d,Both,90182C,8.205999294882464,0.0023234200743494425,0.1941747572815534,1.0,7.89079178916712,4.569640062597809,8,129.6374872967226,639
2.0,2.0,Per period 14d,Both,90182C,7.224038415709907,0.0033689591078066915,0.3118279569892473,1.0,8.581779331576929,3.998435054773083,7,140.98969264502773,639
2.0,2.0,Per period 28d,Both,90182C,7.220976746046706,0.0025557620817843866,0.24175824175824176,1.0,8.464502241607667,3.998435054773083,7,139.06295225353003,639
2.0,2.0,Per period 56d,Both,90182C,4.939769868112541,0.0027881040892193307,0.6,1.0,74.30277932217938,1.7136150234741785,3,1220.7172445880647,639
2.0,2.0,SP Part Period Balancing,SAP only,90182C,5.672459152633747,0.0009293680297397769,0.6153846153846154,1.0,178.9782937745377,0.5712050078247262,1,2940.426880536755,639
2.0,2.0,WI Sliding Economic Lot Size,SAP only,90182C,5.106221839686958,0.0015102230483271376,0.7222222222222222,0.987860556117769,157.28860429152311,0.5712050078247262,1,2584.087881871965,639
2.0,2.0,DY Dynamic Planning Calculation,SAP only,90182C,8.131128993452226,0.0013940520446096654,0.5454545454545454,1.0,234.85256271125147,1.1424100156494523,2,3858.382901051832,639
2.0,2.0,GR Groff Reorder Procedure,SAP only,90182C,4.996758130079607,0.001974907063197026,0.4358974358974359,1.0,76.48571159806512,1.7136150234741785,3,1256.5805473776843,639
1.0,1.0,Per period 7d,Both,44234,31.04631618956308,0.03508364312267658,0.7312348668280871,0.999518222522724,0.37359575656774713,17.70735524256651,31,402.50974263153023,639
1.0,1.0,Per period 14d,Both,44234,21.309567267706807,0.030901486988847583,0.7987987987987988,0.9994720245776129,2.4970322187239153,11.995305164319248,21,2690.286969356792,639
1.0,1.0,Per period 28d,Both,44234,19.298077363788025,0.02509293680297398,0.9191489361702128,0.9991932458052433,10.470554667442332,10.28169014084507,18,11280.910423395913,639
1.0,1.0,Per period 56d,Both,44234,14.264022867327917,0.019400557620817844,0.9766081871345029,1.0,10.195864208456722,7.42566510172144,13,10984.960632730706,639
1.0,1.0,SP Part Period Balancing,SAP only,44234,9.210944896229693,0.009409851301115242,0.9529411764705882,1.0,25.900131231013567,3.427230046948357,6,27904.64016961518,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,44234,9.257980194664505,0.011152416356877323,0.9411764705882353,1.0,26.27952746524417,3.427230046948357,6,28313.399310774854,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,44234,8.724965034060894,0.007202602230483271,0.9841269841269841,1.0,46.17872634602021,1.7136150234741785,3,49752.67231981491,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,44234,15.563742895350627,0.02137546468401487,0.9633507853403142,1.0,4.547264260834056,8.568075117370892,15,4899.194209594736,639
0.5,0.5,Per period 7d,Both,44234,31.04631618956308,0.03508364312267658,0.7312348668280871,0.999518222522724,0.37359575656774713,17.70735524256651,31,402.50974263153023,639
0.5,0.5,Per period 14d,Both,44234,21.309567267706807,0.030901486988847583,0.7987987987987988,0.9994720245776129,2.4970322187239153,11.995305164319248,21,2690.286969356792,639
0.5,0.5,Per period 28d,Both,44234,19.298077363788025,0.02509293680297398,0.9191489361702128,0.9991932458052433,10.470554667442332,10.28169014084507,18,11280.910423395913,639
0.5,0.5,Per period 56d,Both,44234,14.264022867327917,0.019400557620817844,0.9766081871345029,1.0,10.195864208456722,7.42566510172144,13,10984.960632730706,639
0.5,0.5,SP Part Period Balancing,SAP only,44234,10.215527246923585,0.01533457249070632,0.9635036496350365,1.0,17.870891060318666,4.569640062597809,8,19253.986788740676,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,44234,14.03934913895167,0.01475371747211896,0.9769230769230769,1.0,48.71461214810199,4.569640062597809,8,52484.819898032365,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,44234,8.18972702412674,0.01092007434944238,1.0,0.9999962500345825,33.79518592001525,2.2848200312989047,4,36410.722947768096,639
0.5,0.5,GR Groff Reorder Procedure,SAP only,44234,16.407194765427466,0.02532527881040892,0.9688888888888889,1.0,3.2845153691478264,9.139280125195619,16,3538.716413833944,639
